,imgName,transcription,sequence,size,trans_length
0,AAW_ARB_20070103.0087_3_LDC0014_00z7,waMaeAnaBheMaaEspfaMyaAspaaAnaBtaMhaMaaEraMspahAayBlaBaaEnaAspraMseMmaByaA,"[102, 5, 77, 48, 4, 89, 37, 105, 89, 3, 77, 94, 45, 4, 81, 89, 7, 16, 63, 4, 76, 89, 81, 86, 64, 105]","[683.0, 70]",26
1,AAW_ARB_20070103.0087_3_LDC0014_00z8,kaMbaMlaAspaeAnaAsptaBkaMdaMmaEspaaAlaBmaBzaEyaBdaMspmaBnaA,"[56, 20, 62, 89, 5, 76, 89, 92, 56, 27, 65, 89, 3, 63, 64, 108, 106, 27, 89, 64, 76]","[706.0, 70]",21
2,AAW_ARB_20070103.0087_3_LDC0014_00z9,aaAlaBtaMfaMaaEsaMyaBlaAspbaMshMaeEnaAspheMdhMheAspaaAlaBmaBfaMaaEwaMdeBaaEtaAspspdotAsp,"[3, 63, 94, 37, 4, 83, 106, 62, 89, 20, 88, 6, 76, 89, 48, 31, 46, 89, 3, 63, 64, 37, 4, 102, 30, 4, 91, 89, 89, 32, 89]","[948.0, 70]",31
3,AAW_ARB_20070104.0024_3_LDC0014_00z0,waMmaBmaBaaEspraMjaBhaEsptaBnaBfaMyaBdhMspaaAlaBaaEayBdaMaaAmaEspaaAlaByaBwaMmaE,"[102, 64, 64, 4, 89, 81, 53, 44, 89, 92, 77, 37, 106, 31, 89, 3, 63, 4, 16, 27, 3, 65, 89, 3, 63, 106, 102, 65]","[762.0, 70]",28
4,AAW_ARB_20070104.0024_3_LDC0014_00z1,heMwaMsptaBwaMjaBheEspmaBhaMaaEmaByaByaBnaAspmaBnaAspfaMraMyaBkaA,"[48, 102, 89, 92, 102, 53, 47, 89, 64, 45, 4, 64, 106, 106, 76, 89, 64, 76, 89, 37, 81, 106, 55]","[889.0, 70]",23
5,AAW_ARB_20070105.0006_3_LDC0002_00z1,keBaaEnaAspyaBhaMtaMfaMzhaEspbaMheMaaEspjaByaBfaMraMseMwaMnaAspheMyaAspnaBseMkhMteeE,"[58, 4, 76, 89, 106, 45, 94, 37, 110, 89, 20, 48, 4, 89, 53, 106, 37, 81, 86, 102, 76, 89, 48, 105, 89, 77, 86, 61, 96]","[963.0, 70]",29
6,AAW_ARB_20070105.0006_3_LDC0002_0z10,aeAlaByaBseMwaMnaAspaaAseMtaMkhMdaMmaEspmaBsaMhaMfaMaaEspnaBaaEdaMraMaaAsplaBlaBraMalByaBseA,"[5, 63, 106, 86, 102, 76, 89, 3, 86, 94, 61, 27, 65, 89, 64, 83, 45, 37, 4, 89, 77, 4, 27, 81, 3, 89, 63, 63, 81, 10, 106, 85]","[919.0, 70]",32
7,AAW_ARB_20070105.0006_3_LDC0002_0z11,jaByaBfaMraMseMwaMnaAspfaMyaAspaaAlaBkaMseMmaEspbaMaaElaBkeBwaMnaBghMraMseAspseMyaA,"[53, 106, 37, 81, 86, 102, 76, 89, 37, 105, 89, 3, 63, 56, 86, 65, 89, 20, 4, 63, 58, 102, 77, 42, 81, 85, 89, 86, 105]","[738.0, 70]",29
8,AAW_ARB_20070105.0006_3_LDC0002_0z12,ahAnaAspahAnaAsptaBayMtaMdhMraMspayBnaAspkhMlaBtoBheMaaE,"[7, 76, 89, 7, 76, 89, 92, 18, 94, 31, 81, 89, 16, 76, 89, 61, 63, 101, 48, 4]","[647.0, 70]",20
9,AAW_ARB_20070105.0006_3_LDC0002_0z13,baMyaBnaAspaeAwaMbaMaaEmaBaaEspwaMaeAseMaaEmaBteeEspfaMyaAspayBnaBaaEwaMyaBnaBheMaaE,"[20, 106, 76, 89, 5, 102, 20, 4, 64, 4, 89, 102, 5, 86, 4, 64, 96, 89, 37, 105, 89, 16, 77, 4, 102, 106, 77, 48, 4]","[842.0, 70]",29
10,AAW_ARB_20070105.0013_2_LDC0002_00z6,aaAlaBghMzaElaBaaEnaAspfaMyaAspjaBwaMraMjaByaBaaEspspcomAspspwaMtaBbaMyaBnaA,"[3, 63, 42, 108, 63, 4, 76, 89, 37, 105, 89, 53, 102, 81, 53, 106, 4, 89, 89, 25, 89, 89, 102, 92, 20, 106, 76]","[823.0, 70]",27
11,AAW_ARB_20070105.0013_2_LDC0002_00z7,aaAnaAspaaAlaBmaBraMdeAspaaAnaBtaMkaMlaAspaaAlaBeeEspheMdhMheA,"[3, 76, 89, 3, 63, 64, 81, 29, 89, 3, 77, 94, 56, 62, 89, 3, 63, 34, 89, 48, 31, 46]","[794.0, 70]",22
12,AAW_ARB_20070105.0013_2_LDC0002_00z8,aaAlaBghMzaElaBaaEnaAspwaMhaMheMraMspdhMlaBkeEspfaMyaAspayByaBnaBaaEtaA,"[3, 63, 42, 108, 63, 4, 76, 89, 102, 45, 48, 81, 89, 31, 63, 59, 89, 37, 105, 89, 16, 106, 77, 4, 91]","[862.0, 70]",25
13,AAW_ARB_20070105.0013_2_LDC0002_00z9,aaAlaBdaMmaEspwaMaaAlaBbaMwaMlaAspspcomAspspwaMhaMlaBtaEspaaAlaBghMzaElaBaaEnaA,"[3, 63, 27, 65, 89, 102, 3, 63, 20, 102, 62, 89, 89, 25, 89, 89, 102, 45, 63, 93, 89, 3, 63, 42, 108, 63, 4, 76]","[879.0, 70]",28
